"row$Identification";"genotype";"latitude";"longitude"
"PlastEdge_2019-260";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-272";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-284";"Ag-0";"45";"1,3"
"PlastEdge_2019-296";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-306";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-318";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-329";"Ag-0";"45";"1,3"
"PlastEdge_2019-226";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-238";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-250";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-261";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-273";"San-2";"56,07";"13,74"
"PlastEdge_2019-285";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-297";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-307";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-319";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-49";"In-0";"47,5";"11,5"
"PlastEdge_2019-330";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-227";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-239";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-251";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-262";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-274";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-286";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-298";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-308";"Ra-0";"46";"3,3"
"PlastEdge_2019-320";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-331";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-228";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-240";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-252";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-263";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-275";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-287";"Pi-0";"47,04";"10,51"
"PlastEdge_2019-299";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-309";"San-2";"56,07";"13,74"
"PlastEdge_2019-321";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-332";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-229";"San-2";"56,07";"13,74"
"PlastEdge_2019-241";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-253";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-264";"In-0";"47,5";"11,5"
"PlastEdge_2019-276";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-288";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-300";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-310";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-322";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-333";"Ts-1";"41,7194";"2,93056"
"PlastEdge_2019-230";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-242";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-254";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-265";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-277";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-289";"In-0";"47,5";"11,5"
"PlastEdge_2019-301";"In-0";"47,5";"11,5"
"PlastEdge_2019-311";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-323";"An-1";"51,2167";"4,4"
"PlastEdge_2019-334";"In-0";"47,5";"11,5"
"PlastEdge_2019-231";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-243";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-266";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-278";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-290";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-302";"Hum-2";"42,23";"-3,69"
"PlastEdge_2019-312";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-324";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-335";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-232";"Ra-0";"46";"3,3"
"PlastEdge_2019-244";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-255";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-267";"Com-1";"49,416";"2,823"
"PlastEdge_2019-279";"Ag-0";"45";"1,3"
"PlastEdge_2019-291";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-313";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-325";"San-2";"56,07";"13,74"
"PlastEdge_2019-336";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-648";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-660";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-672";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-684";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-695";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-707";"Ler-0";"47,984";"10,8719"
"PlastEdge_2019-719";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-731";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-743";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-755";"Vinslov";"56,1";"13,9167"
"PlastEdge_2019-649";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-661";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-673";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-685";"TaL 03";"62,6322";"17,69"
"PlastEdge_2019-696";"Utrecht";"52,0918";"5,1145"
"PlastEdge_2019-708";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-720";"Ag-0";"45";"1,3"
"PlastEdge_2019-732";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-744";"An-1";"51,2167";"4,4"
"PlastEdge_2019-756";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-650";"Com-1";"49,416";"2,823"
"PlastEdge_2019-662";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-674";"An-1";"51,2167";"4,4"
"PlastEdge_2019-686";"Gua-1";"39,4";"-5,33"
"PlastEdge_2019-697";"Vis-0";"39,85";"-6,04"
"PlastEdge_2019-709";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-721";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-733";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-745";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-757";"Com-1";"49,416";"2,823"
"PlastEdge_2019-651";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-663";"Tur-4";"57,6511";"14,8043"
"PlastEdge_2019-675";"Kulturen-1";"55,705";"13,196"
"PlastEdge_2019-687";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-698";"Ei-2";"50,3";"6,3"
"PlastEdge_2019-710";"Eden-1";"62,877";"18,177"
"PlastEdge_2019-722";"In-0";"47,5";"11,5"
"PlastEdge_2019-734";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-746";"San-2";"56,07";"13,74"
"PlastEdge_2019-60";"Cum-1";"38,07";"-6,66"
"PlastEdge_2019-652";"TBO 01";"62,8892";"18,4522"
"PlastEdge_2019-664";"San-2";"56,07";"13,74"
"PlastEdge_2019-676";"Or-1";"56,4573";"16,1308"
"PlastEdge_2019-688";"Coa-0";"38,45";"-7,5"
"PlastEdge_2019-699";"TRa 01";"62,9169";"18,4728"
"PlastEdge_2019-711";"Ped-0";"40,74";"-3,9"
"PlastEdge_2019-723";"Rennes-1";"48,5";"-1,41"
"PlastEdge_2019-735";"Cdm-0";"39,73";"-5,74"
"PlastEdge_2019-747";"In-0";"47,5";"11,5"
"PlastEdge_2019-653";"TEDEN 02";"62,8836";"18,1842"
"PlastEdge_2019-665";"Cvi-0";"15,1111";"-23,6167"
"PlastEdge_2019-677";"Pla-0";"41,5";"2,25"
"PlastEdge_2019-700";"Ra-0";"46";"3,3"
